family,rows,runs,states,trades,tp,sl,reward_sum,max_afterimage,max_recurrence_strength,max_temporal_trust_support,max_temporal_caution_support,avg_time_distance,memory_seen_count,memory_last_state,memory_max_afterimage,memory_max_trust_support,memory_max_caution_support
dio_0tmw,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1km5,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0o8k,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0rbo,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0cz8,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0hmv,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1h53,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_13dt,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0o8c,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1t6b,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0j9l,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0eyx,3,"[1, 2, 3]",{'temporal_first_contact': 3},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,3,temporal_first_contact,0.0,0.0,0.72
dio_17y4,3,"[1, 2, 3]",{'temporal_first_contact': 3},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,3,temporal_first_contact,0.0,0.0,0.72
dio_11nf,3,"[1, 2, 4]",{'temporal_first_contact': 3},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,3,temporal_first_contact,0.0,0.0,0.72
dio_13st,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_1jop,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_1iuq,2,"[3, 4]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_17cm,1,[4],{'temporal_first_contact': 1},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,1,temporal_first_contact,0.0,0.0,0.72
dio_14ms,1,[4],{'temporal_first_contact': 1},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,1,temporal_first_contact,0.0,0.0,0.72
