reference_probe,variant_probe,run,episode_index,reference_symbol,variant_symbol,reference_family,variant_family,same_symbol,same_family,reference_action,variant_action,same_action,reference_sehen_form_stability,variant_sehen_form_stability,sehen_form_stability_delta,reference_hoeren_energy_tone,variant_hoeren_energy_tone,hoeren_energy_tone_delta,reference_fuehlen_mcm_coherence,variant_fuehlen_mcm_coherence,fuehlen_mcm_coherence_delta,reference_fuehlen_mcm_tension,variant_fuehlen_mcm_tension,fuehlen_mcm_tension_delta,reference_reflection_context_alignment,variant_reflection_context_alignment,reflection_context_alignment_delta,reference_reflection_context_carry,variant_reflection_context_carry,reflection_context_carry_delta,reference_reflection_context_strain,variant_reflection_context_strain,reflection_context_strain_delta,reference_observation_learning_pressure,variant_observation_learning_pressure,observation_learning_pressure_delta,reference_observation_trade_readiness,variant_observation_trade_readiness,observation_trade_readiness_delta,sense_abs_delta_sum,semantic_state,passive_role,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate
25,20,1,10,dio_1xfw0oi,dio_12dnns3,dio_1xfw,dio_12dn,0,0,LONG,LONG,1,0.0,0.0,0.0,0.101606,0.113652,0.012046,0.37155,0.368177,-0.003373,0.25108,0.252743,0.001663,0.807312,0.808035,0.000723,0.100729,0.100258,-0.000471,0.289021,0.28927,0.000249,0.408177,0.405597,-0.00258,0.0,0.0,0.0,0.021105,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,20,1,11,dio_0qymuz6,dio_1r1gnnh,dio_0qym,dio_1r1g,0,0,LONG,LONG,1,0.0,0.0,0.0,-0.378987,-0.353522,0.025465,0.293884,0.301014,0.00713,0.319175,0.317811,-0.001364,0.829067,0.827602,-0.001465,0.085439,0.086252,0.000813,0.298314,0.298016,-0.000298,0.327778,0.332744,0.004966,0.0,0.0,0.0,0.041501,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,20,1,12,dio_1noq62o,dio_08l0huy,dio_1noq,dio_08l0,0,0,LONG,LONG,1,-1.0,-1.0,0.0,-0.213477,-0.228899,-0.015422,-0.259774,-0.264092,-0.004318,0.170628,0.187564,0.016936,0.87081,0.869226,-0.001584,0.065165,0.064625,-0.00054,0.290166,0.291754,0.001588,0.228409,0.231525,0.003116,0.0,0.0,0.0,0.043504,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,20,1,13,dio_1ektc46,dio_1ektc46,dio_1ekt,dio_1ekt,1,1,LONG,LONG,1,0.0,0.0,0.0,-0.118815,-0.142903,-0.024088,0.366732,0.359987,-0.006745,0.262296,0.288923,0.026627,0.801762,0.799689,-0.002073,0.102381,0.101344,-0.001037,0.289629,0.292167,0.002538,0.425268,0.428775,0.003507,0.0,0.0,0.0,0.066615,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,20,1,14,dio_067m4e4,dio_17aodmp,dio_067m,dio_17ao,0,0,LONG,LONG,1,1.0,1.0,0.0,0.328103,0.24297,-0.085133,0.908131,0.931968,0.023837,0.568802,0.512923,-0.055879,0.723796,0.72361,-0.000186,0.127496,0.131792,0.004296,0.310378,0.304573,-0.005805,0.624849,0.632494,0.007645,0.0,0.0,0.0,0.182781,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,20,1,15,dio_1215ovx,dio_0wspo62,dio_1215,dio_0wsp,0,0,LONG,LONG,1,1.0,1.0,0.0,0.383958,0.330638,-0.05332,0.892492,0.907421,0.014929,0.465623,0.412916,-0.052707,0.741591,0.744452,0.002861,0.126802,0.129427,0.002625,0.301579,0.296423,-0.005156,0.579292,0.576478,-0.002814,0.0,0.0,0.0,0.134412,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,20,1,16,dio_1mrsgr3,dio_11ex1jn,dio_1mrs,dio_11ex,0,0,LONG,LONG,1,1.0,1.0,0.0,0.209484,0.18748,-0.022004,0.941344,0.947505,0.006161,0.425898,0.387612,-0.038286,0.732228,0.736057,0.003829,0.134264,0.135346,0.001082,0.296462,0.292901,-0.003561,0.615093,0.60727,-0.007823,0.0,0.0,0.0,0.082746,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,20,1,17,dio_1lnolaa,dio_1935hyo,dio_1lno,dio_1935,0,0,SHORT,LONG,0,1.0,1.0,0.0,0.069474,0.088431,0.018957,0.980547,0.975239,-0.005308,0.432452,0.389472,-0.04298,0.724599,0.73033,0.005731,0.137539,0.13801,0.000471,0.296287,0.29246,-0.003827,0.639168,0.625765,-0.013403,0.0,0.0,0.0,0.090677,neues_praebewusstes_muster,richtungskonflikt_als_beobachtung,1,0,0,0,0
25,20,2,0,dio_0x52rrz,dio_0x52rrz,dio_0x52,dio_0x52,1,1,SHORT,SHORT,1,1.0,1.0,0.0,0.070582,0.062875,-0.007707,0.980237,0.982395,0.002158,0.083062,0.075702,-0.00736,0.765528,0.765721,0.000193,0.144477,0.144938,0.000461,0.264272,0.263531,-0.000741,0.538898,0.539188,0.00029,0.00741,0.007414,4e-06,0.018914,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,20,2,1,dio_1ull2yv,dio_1yvra14,dio_1ull,dio_1yvr,0,0,SHORT,SHORT,1,-1.0,-1.0,0.0,0.10837,0.060568,-0.047802,-0.230344,-0.216959,0.013385,0.104005,0.076257,-0.027748,0.876128,0.875815,-0.000313,0.067871,0.07012,0.002249,0.283727,0.280813,-0.002914,0.215145,0.219586,0.004441,0.002958,0.003019,6.1e-05,0.098913,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,20,2,2,dio_15gsl67,dio_15gsl67,dio_15gs,dio_15gs,1,1,SHORT,SHORT,1,-0.333333,-0.333333,0.0,0.41146,0.397511,-0.013949,0.084791,0.088697,0.003906,0.378533,0.367049,-0.011484,0.829888,0.830305,0.000417,0.076665,0.077333,0.000668,0.305372,0.304229,-0.001143,0.318623,0.318684,6.1e-05,0.004381,0.004382,1e-06,0.031629,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,20,2,3,dio_05k373k,dio_05k373k,dio_05k3,dio_05k3,1,1,LONG,LONG,1,0.0,0.0,0.0,0.391782,0.380156,-0.011626,0.290301,0.293556,0.003255,0.473297,0.468942,-0.004355,0.798544,0.79838,-0.000164,0.090655,0.090729,7.4e-05,0.310297,0.30991,-0.000387,0.410145,0.410093,-5.2e-05,0.005639,0.005639,0.0,0.019913,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,20,2,4,dio_0fvj36m,dio_0fvj36m,dio_0fvj,dio_0fvj,1,1,LONG,LONG,1,1.0,1.0,0.0,0.026153,0.030113,0.00396,0.992677,0.991568,-0.001109,0.366009,0.362289,-0.00372,0.728574,0.728911,0.000337,0.140855,0.140963,0.000108,0.289585,0.289239,-0.000346,0.623258,0.622648,-0.00061,0.00857,0.008561,-9e-06,0.010199,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,20,2,5,dio_1aqjtv9,dio_0u8fyo5,dio_1aqj,dio_0u8f,0,0,LONG,LONG,1,0.0,0.0,0.0,0.019383,-0.029329,-0.048712,0.394573,0.391788,-0.002785,0.33943,0.350145,0.010715,0.799866,0.797585,-0.002281,0.098069,0.098304,0.000235,0.297101,0.297978,0.000877,0.41372,0.419841,0.006121,0.005689,0.005773,8.4e-05,0.07181,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,20,2,6,dio_04kxp8v,dio_0nwm8wp,dio_04kx,dio_0nwm,0,0,LONG,SHORT,0,-1.0,-1.0,0.0,-0.043626,-0.060118,-0.016492,-0.212215,-0.216833,-0.004618,0.145314,0.132409,-0.012905,0.872885,0.875451,0.002566,0.066457,0.066237,-0.00022,0.287659,0.286549,-0.00111,0.222222,0.213532,-0.00869,0.001484,0.002936,0.001452,0.048053,neues_praebewusstes_muster,richtungskonflikt_als_beobachtung,1,0,0,0,0
25,20,2,7,dio_1bwys3u,dio_0jhl21k,dio_1bwy,dio_0jhl,0,0,SHORT,SHORT,1,0.0,0.0,0.0,-0.003998,-0.002608,0.00139,0.39888,0.39927,0.00039,0.272701,0.268654,-0.004047,0.791137,0.792966,0.001829,0.106854,0.106323,-0.000531,0.289344,0.289114,-0.00023,0.450861,0.445385,-0.005476,0.006199,0.006124,-7.5e-05,0.013968,feine_signaturverschiebung,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,20,2,8,dio_19mpp0p,dio_0kjneap,dio_19mp,dio_0kjn,0,0,SHORT,SHORT,1,0.0,0.0,0.0,-0.103193,-0.034073,0.06912,0.371106,0.39046,0.019354,0.397911,0.352843,-0.045068,0.791756,0.793004,0.001248,0.097341,0.100174,0.002833,0.302314,0.297778,-0.004536,0.433069,0.434534,0.001465,0.005955,0.005975,2e-05,0.143644,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,20,2,9,dio_1hs5sz6,dio_0wvpras,dio_1hs5,dio_0wvp,0,0,LONG,LONG,1,-1.0,-1.0,0.0,0.076494,0.090679,0.014185,-0.221418,-0.22539,-0.003972,0.197379,0.203981,0.006602,0.870071,0.869939,-0.000132,0.06395,0.063504,-0.000446,0.292683,0.293353,0.00067,0.22284,0.222478,-0.000362,0.003064,0.003059,-5e-06,0.026374,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,20,2,10,dio_1xfw0oi,dio_12dnns3,dio_1xfw,dio_12dn,0,0,LONG,LONG,1,0.0,0.0,0.0,0.101606,0.113652,0.012046,0.37155,0.368177,-0.003373,0.25108,0.252743,0.001663,0.805116,0.805852,0.000736,0.101875,0.101397,-0.000478,0.28862,0.288871,0.000251,0.408177,0.405597,-0.00258,0.005612,0.005577,-3.5e-05,0.021162,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,20,2,11,dio_0qymuz6,dio_1r1gnnh,dio_0qym,dio_1r1g,0,0,LONG,LONG,1,0.0,0.0,0.0,-0.378987,-0.353522,0.025465,0.293884,0.301014,0.00713,0.319175,0.317811,-0.001364,0.827303,0.825812,-0.001491,0.086359,0.087185,0.000826,0.297992,0.297688,-0.000304,0.327778,0.332744,0.004966,0.004507,0.004575,6.8e-05,0.041614,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,20,2,12,dio_1noq62o,dio_08l0huy,dio_1noq,dio_08l0,0,0,LONG,LONG,1,-1.0,-1.0,0.0,-0.213477,-0.228899,-0.015422,-0.259774,-0.264092,-0.004318,0.170628,0.187564,0.016936,0.869575,0.867976,-0.001599,0.065802,0.065272,-0.00053,0.289953,0.291536,0.001583,0.228409,0.231525,0.003116,0.003141,0.003183,4.2e-05,0.043546,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,20,2,13,dio_1ektc46,dio_1ektc46,dio_1ekt,dio_1ekt,1,1,LONG,LONG,1,0.0,0.0,0.0,-0.118815,-0.142903,-0.024088,0.366732,0.359987,-0.006745,0.262296,0.288923,0.026627,0.799474,0.797382,-0.002092,0.103574,0.102547,-0.001027,0.28921,0.291745,0.002535,0.425268,0.428775,0.003507,0.005847,0.005896,4.9e-05,0.06667,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,20,2,14,dio_067m4e4,dio_17aodmp,dio_067m,dio_17ao,0,0,LONG,LONG,1,1.0,1.0,0.0,0.328103,0.24297,-0.085133,0.908131,0.931968,0.023837,0.568802,0.512923,-0.055879,0.720434,0.720207,-0.000227,0.12925,0.133567,0.004317,0.309763,0.303951,-0.005812,0.624849,0.632494,0.007645,0.008592,0.008697,0.000105,0.182955,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,20,2,15,dio_1215ovx,dio_0wspo62,dio_1215,dio_0wsp,0,0,LONG,LONG,1,1.0,1.0,0.0,0.383958,0.330638,-0.05332,0.892492,0.907421,0.014929,0.465623,0.412916,-0.052707,0.738474,0.74135,0.002876,0.128427,0.131045,0.002618,0.301009,0.295856,-0.005153,0.579292,0.576478,-0.002814,0.007965,0.007927,-3.8e-05,0.134455,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,20,2,16,dio_1mrsgr3,dio_11ex1jn,dio_1mrs,dio_11ex,0,0,LONG,LONG,1,1.0,1.0,0.0,0.209484,0.18748,-0.022004,0.941344,0.947505,0.006161,0.425898,0.387612,-0.038286,0.728918,0.73279,0.003872,0.13599,0.13705,0.00106,0.295856,0.292304,-0.003552,0.615093,0.60727,-0.007823,0.008458,0.00835,-0.000108,0.082866,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,20,2,17,dio_1lnolaa,dio_1935hyo,dio_1lno,dio_1935,0,0,SHORT,LONG,0,1.0,1.0,0.0,0.069474,0.088431,0.018957,0.980547,0.975239,-0.005308,0.432452,0.389472,-0.04298,0.721177,0.728269,0.007092,0.139344,0.139085,-0.000259,0.295624,0.292083,-0.003541,0.639168,0.625765,-0.013403,0.008789,0.005268,-0.003521,0.095061,neues_praebewusstes_muster,richtungskonflikt_als_beobachtung,1,0,0,0,0
25,21,1,0,dio_0x52rrz,dio_0x52rrz,dio_0x52,dio_0x52,1,1,SHORT,SHORT,1,1.0,1.0,0.0,0.070582,0.096378,0.025796,0.980237,0.973014,-0.007223,0.083062,0.089773,0.006711,0.768418,0.769007,0.000589,0.142959,0.142154,-0.000805,0.264821,0.265582,0.000761,0.538898,0.536149,-0.002749,0.0,0.0,0.0,0.044634,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,21,1,1,dio_1ull2yv,dio_0xo2aqx,dio_1ull,dio_0xo2,0,0,SHORT,SHORT,1,-1.0,-1.0,0.0,0.10837,0.003678,-0.104692,-0.230344,-0.20103,0.029314,0.104005,0.052363,-0.051642,0.877293,0.876323,-0.00097,0.067273,0.071649,0.004376,0.283924,0.278483,-0.005441,0.215145,0.224747,0.009602,0.0,0.0,0.0,0.206037,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,21,1,2,dio_15gsl67,dio_0cmgpj7,dio_15gs,dio_0cmg,0,0,SHORT,SHORT,1,-0.333333,-0.333333,0.0,0.41146,0.266212,-0.145248,0.084791,0.125461,0.04067,0.378533,0.311903,-0.06663,0.831613,0.830473,-0.00114,0.075778,0.081395,0.005617,0.305665,0.298655,-0.00701,0.318623,0.330596,0.011973,0.0,0.0,0.0,0.278288,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,21,1,3,dio_05k373k,dio_05k373k,dio_05k3,dio_05k3,1,1,LONG,LONG,1,0.0,0.0,0.0,0.391782,0.314889,-0.076893,0.290301,0.311831,0.02153,0.473297,0.441529,-0.031768,0.80091,0.79786,-0.00305,0.08959,0.090963,0.001373,0.310696,0.307685,-0.003011,0.410145,0.416014,0.005869,0.0,0.0,0.0,0.143494,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,21,1,4,dio_0fvj36m,dio_0sg34nb,dio_0fvj,dio_0sg3,0,0,LONG,LONG,1,1.0,1.0,0.0,0.026153,-0.098631,-0.124784,0.992677,0.972383,-0.020294,0.366009,0.391067,0.025058,0.731928,0.733068,0.00114,0.139106,0.13663,-0.002476,0.290198,0.292924,0.002726,0.623258,0.616432,-0.006826,0.0,0.0,0.0,0.183304,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,21,1,5,dio_1aqjtv9,dio_0q96t2k,dio_1aqj,dio_0q96,0,0,LONG,LONG,1,0.0,0.0,0.0,0.019383,0.028725,0.009342,0.394573,0.391957,-0.002616,0.33943,0.349891,0.010461,0.802088,0.799835,-0.002253,0.096906,0.097147,0.000241,0.297515,0.298367,0.000852,0.41372,0.419895,0.006175,0.0,0.0,0.0,0.03194,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,21,1,6,dio_04kxp8v,dio_1k5pizv,dio_04kx,dio_1k5p,0,0,LONG,LONG,1,-1.0,-1.0,0.0,-0.043626,-0.111184,-0.067558,-0.212215,-0.231132,-0.018917,0.145314,0.153857,0.008543,0.873472,0.877208,0.003736,0.066158,0.063715,-0.002443,0.287752,0.289036,0.001284,0.222222,0.208899,-0.013323,0.0,0.0,0.0,0.115804,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,21,1,7,dio_1bwys3u,dio_0jhl21k,dio_1bwy,dio_0jhl,0,0,SHORT,SHORT,1,0.0,0.0,0.0,-0.003998,0.043669,0.047667,0.39888,0.387773,-0.011107,0.272701,0.2859,0.013199,0.793552,0.795835,0.002283,0.105582,0.103516,-0.002066,0.289809,0.291416,0.001607,0.450861,0.44166,-0.009201,0.0,0.0,0.0,0.08713,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,21,1,8,dio_19mpp0p,dio_09odhf2,dio_19mp,dio_09od,0,0,SHORT,SHORT,1,0.0,0.0,0.0,-0.103193,-0.081224,0.021969,0.371106,0.377257,0.006151,0.397911,0.372647,-0.025264,0.794075,0.795886,0.001811,0.096118,0.097167,0.001049,0.302761,0.300343,-0.002418,0.433069,0.430256,-0.002813,0.0,0.0,0.0,0.061475,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,21,1,9,dio_1hs5sz6,dio_1vlck1o,dio_1hs5,dio_1vlc,0,0,LONG,LONG,1,-1.0,-1.0,0.0,0.076494,0.112508,0.036014,-0.221418,-0.231502,-0.010084,0.197379,0.213149,0.01577,0.871281,0.871402,0.000121,0.063332,0.062062,-0.00127,0.292881,0.294533,0.001652,0.22284,0.220498,-0.002342,0.0,0.0,0.0,0.067253,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,21,1,10,dio_1xfw0oi,dio_12dnns3,dio_1xfw,dio_12dn,0,0,LONG,LONG,1,0.0,0.0,0.0,0.101606,0.179384,0.077778,0.37155,0.349773,-0.021777,0.25108,0.28035,0.02927,0.807312,0.808811,0.001499,0.100729,0.097779,-0.00295,0.289021,0.292212,0.003191,0.408177,0.399634,-0.008543,0.0,0.0,0.0,0.145008,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,21,1,11,dio_0qymuz6,dio_0doc5y3,dio_0qym,dio_0doc,0,0,LONG,LONG,1,0.0,0.0,0.0,-0.378987,-0.340314,0.038673,0.293884,0.304712,0.010828,0.319175,0.312263,-0.006912,0.829067,0.827445,-0.001622,0.085439,0.086749,0.00131,0.298314,0.297426,-0.000888,0.327778,0.333942,0.006164,0.0,0.0,0.0,0.066397,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,21,1,12,dio_1noq62o,dio_1w3j8rh,dio_1noq,dio_1w3j,0,0,LONG,LONG,1,-1.0,-1.0,0.0,-0.213477,-0.120147,0.09333,-0.259774,-0.233641,0.026133,0.170628,0.141888,-0.02874,0.87081,0.867941,-0.002869,0.065165,0.068727,0.003562,0.290166,0.286885,-0.003281,0.228409,0.241391,0.012982,0.0,0.0,0.0,0.170897,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,21,1,13,dio_1ektc46,dio_1ektc46,dio_1ekt,dio_1ekt,1,1,LONG,LONG,1,0.0,0.0,0.0,-0.118815,-0.148511,-0.029696,0.366732,0.358417,-0.008315,0.262296,0.291278,0.028982,0.801762,0.799755,-0.002007,0.102381,0.101133,-0.001248,0.289629,0.292417,0.002788,0.425268,0.428266,0.002998,0.0,0.0,0.0,0.076034,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,21,1,14,dio_067m4e4,dio_08ngk5y,dio_067m,dio_08ng,0,0,LONG,LONG,1,1.0,1.0,0.0,0.328103,0.187128,-0.140975,0.908131,0.947604,0.039473,0.568802,0.489469,-0.079333,0.723796,0.722957,-0.000839,0.127496,0.133903,0.006407,0.310378,0.30206,-0.008318,0.624849,0.63756,0.012711,0.0,0.0,0.0,0.288056,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,21,1,15,dio_1215ovx,dio_1t1wbqf,dio_1215,dio_1t1w,0,0,LONG,LONG,1,1.0,1.0,0.0,0.383958,0.329926,-0.054032,0.892492,0.907621,0.015129,0.465623,0.412617,-0.053006,0.741591,0.744442,0.002851,0.126802,0.129453,0.002651,0.301579,0.296395,-0.005184,0.579292,0.576543,-0.002749,0.0,0.0,0.0,0.135602,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,21,1,16,dio_1mrsgr3,dio_06gy9nb,dio_1mrs,dio_06gy,0,0,LONG,LONG,1,1.0,1.0,0.0,0.209484,-0.01156,-0.221044,0.941344,0.996763,0.055419,0.425898,0.313726,-0.112172,0.732228,0.733988,0.00176,0.134264,0.141988,0.007724,0.296462,0.285006,-0.011456,0.615093,0.623229,0.008136,0.0,0.0,0.0,0.417711,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
