run,episode_index,probe25_symbol,probe26_symbol,probe25_family,probe26_family,same_symbol,same_family,probe25_action,probe26_action,same_action,probe25_sehen_form_stability,probe26_sehen_form_stability,sehen_form_stability_delta,probe25_hoeren_energy_tone,probe26_hoeren_energy_tone,hoeren_energy_tone_delta,probe25_fuehlen_mcm_coherence,probe26_fuehlen_mcm_coherence,fuehlen_mcm_coherence_delta,probe25_fuehlen_mcm_tension,probe26_fuehlen_mcm_tension,fuehlen_mcm_tension_delta,probe25_reflection_context_alignment,probe26_reflection_context_alignment,reflection_context_alignment_delta,probe25_reflection_context_carry,probe26_reflection_context_carry,reflection_context_carry_delta,probe25_reflection_context_strain,probe26_reflection_context_strain,reflection_context_strain_delta,probe25_observation_learning_pressure,probe26_observation_learning_pressure,observation_learning_pressure_delta,probe25_observation_trade_readiness,probe26_observation_trade_readiness,observation_trade_readiness_delta,sense_abs_delta_sum,variant_state
1,10,dio_1xfw0oi,dio_12dnns3,dio_1xfw,dio_12dn,0,0,LONG,LONG,1,0.0,0.0,0.0,0.101606,0.110496,0.00889,0.37155,0.369061,-0.002489,0.25108,0.254875,0.003795,0.807312,0.807412,0.0001,0.100729,0.100392,-0.000337,0.289021,0.289424,0.000403,0.408177,0.407381,-0.000796,0.0,0.0,0.0,0.01681,name_drift_low_sensor_delta
1,11,dio_0qymuz6,dio_1r1gnnh,dio_0qym,dio_1r1g,0,0,LONG,LONG,1,0.0,0.0,0.0,-0.378987,-0.360021,0.018966,0.293884,0.299194,0.00531,0.319175,0.325209,0.006034,0.829067,0.827097,-0.00197,0.085439,0.085933,0.000494,0.298314,0.298727,0.000413,0.327778,0.333483,0.005705,0.0,0.0,0.0,0.038892,controlled_family_drift
1,12,dio_1noq62o,dio_1ff06cr,dio_1noq,dio_1ff0,0,0,LONG,LONG,1,-1.0,-1.0,0.0,-0.213477,-0.202039,0.011438,-0.259774,-0.256571,0.003203,0.170628,0.176888,0.00626,0.87081,0.869214,-0.001596,0.065165,0.065458,0.000293,0.290166,0.290643,0.000477,0.228409,0.232866,0.004457,0.0,0.0,0.0,0.027724,controlled_family_drift
1,13,dio_1ektc46,dio_1ektc46,dio_1ekt,dio_1ekt,1,1,LONG,LONG,1,0.0,0.0,0.0,-0.118815,-0.101913,0.016902,0.366732,0.371464,0.004732,0.262296,0.272932,0.010636,0.801762,0.799813,-0.001949,0.102381,0.102529,0.000148,0.289629,0.290517,0.000888,0.425268,0.430306,0.005038,0.0,0.0,0.0,0.040293,same_family_under_variation
1,14,dio_067m4e4,dio_17aodmp,dio_067m,dio_17ao,0,0,LONG,LONG,1,1.0,1.0,0.0,0.328103,0.26619,-0.061913,0.908131,0.925467,0.017336,0.568802,0.532792,-0.03601,0.723796,0.72271,-0.001086,0.127496,0.130715,0.003219,0.310378,0.306535,-0.003843,0.624849,0.63297,0.008121,0.0,0.0,0.0,0.131528,strong_family_drift
1,15,dio_1215ovx,dio_1t1wbqf,dio_1215,dio_1t1w,0,0,LONG,LONG,1,1.0,1.0,0.0,0.383958,0.354057,-0.029901,0.892492,0.900864,0.008372,0.465623,0.433783,-0.03184,0.741591,0.74327,0.001679,0.126802,0.128404,0.001602,0.301579,0.298462,-0.003117,0.579292,0.577762,-0.00153,0.0,0.0,0.0,0.078041,controlled_family_drift
1,16,dio_1mrsgr3,dio_1nvu10y,dio_1mrs,dio_1nvu,0,0,LONG,LONG,1,1.0,1.0,0.0,0.209484,0.198965,-0.010519,0.941344,0.94429,0.002946,0.425898,0.407508,-0.01839,0.732228,0.734458,0.00223,0.134264,0.134608,0.000344,0.296462,0.29479,-0.001672,0.615093,0.610033,-0.00506,0.0,0.0,0.0,0.041161,controlled_family_drift
1,17,dio_1lnolaa,dio_1ldozlb,dio_1lno,dio_1ldo,0,0,SHORT,SHORT,1,1.0,1.0,0.0,0.069474,0.079991,0.010517,0.980547,0.977603,-0.002944,0.432452,0.413982,-0.01847,0.724599,0.726742,0.002143,0.137539,0.13788,0.000341,0.296287,0.294612,-0.001675,0.639168,0.634482,-0.004686,0.0,0.0,0.0,0.040776,controlled_family_drift
2,0,dio_0x52rrz,dio_1rv13no,dio_0x52,dio_1rv1,0,0,SHORT,SHORT,1,1.0,1.0,0.0,0.070582,0.060862,-0.00972,0.980237,0.982959,0.002722,0.083062,0.083083,2.1e-05,0.765528,0.765123,-0.000405,0.144477,0.14468,0.000203,0.264272,0.264227,-4.5e-05,0.538898,0.540187,0.001289,0.00741,0.007428,1.8e-05,0.014423,name_drift_low_sensor_delta
2,1,dio_1ull2yv,dio_1ull2yv,dio_1ull,dio_1ull,1,1,SHORT,SHORT,1,-1.0,-1.0,0.0,0.10837,0.120959,0.012589,-0.230344,-0.233868,-0.003524,0.104005,0.104622,0.000617,0.876128,0.876871,0.000743,0.067871,0.067463,-0.000408,0.283727,0.283874,0.000147,0.215145,0.212676,-0.002469,0.002958,0.002924,-3.4e-05,0.020531,same_family_under_variation
2,2,dio_15gsl67,dio_14c1zmg,dio_15gs,dio_14c1,0,0,SHORT,SHORT,1,-0.333333,-0.333333,0.0,0.41146,0.365332,-0.046128,0.084791,0.097707,0.012916,0.378533,0.356234,-0.022299,0.829888,0.829917,2.9e-05,0.076665,0.078355,0.00169,0.305372,0.303067,-0.002305,0.318623,0.321225,0.002602,0.004381,0.004417,3.6e-05,0.088005,strong_family_drift
2,3,dio_05k373k,dio_05k373k,dio_05k3,dio_05k3,1,1,LONG,LONG,1,0.0,0.0,0.0,0.391782,0.393728,0.001946,0.290301,0.289756,-0.000545,0.473297,0.470591,-0.002706,0.798544,0.798975,0.000431,0.090655,0.090461,-0.000194,0.310297,0.310108,-0.000189,0.410145,0.408467,-0.001678,0.005639,0.005616,-2.3e-05,0.007712,same_family_under_variation
2,4,dio_0fvj36m,dio_1tszbgb,dio_0fvj,dio_1tsz,0,0,LONG,LONG,1,1.0,1.0,0.0,0.026153,0.025084,-0.001069,0.992677,0.992977,0.0003,0.366009,0.362566,-0.003443,0.728574,0.728861,0.000287,0.140855,0.140977,0.000122,0.289585,0.289259,-0.000326,0.623258,0.62276,-0.000498,0.00857,0.008563,-7e-06,0.006052,name_drift_low_sensor_delta
2,5,dio_1aqjtv9,dio_1jbaunv,dio_1aqj,dio_1jba,0,0,LONG,LONG,1,0.0,0.0,0.0,0.019383,0.026012,0.006629,0.394573,0.392717,-0.001856,0.33943,0.344782,0.005352,0.799866,0.798441,-0.001425,0.098069,0.098313,0.000244,0.297101,0.297508,0.000407,0.41372,0.417723,0.004003,0.005689,0.005744,5.5e-05,0.019971,name_drift_low_sensor_delta
2,6,dio_04kxp8v,dio_0ic5er6,dio_04kx,dio_0ic5,0,0,LONG,SHORT,0,-1.0,-1.0,0.0,-0.043626,-0.034092,0.009534,-0.212215,-0.209546,0.002669,0.145314,0.128454,-0.01686,0.872885,0.873938,0.001053,0.066457,0.067263,0.000806,0.287659,0.285973,-0.001686,0.222222,0.218907,-0.003315,0.001484,0.00301,0.001526,0.037449,controlled_family_drift
2,7,dio_1bwys3u,dio_0s84lnj,dio_1bwy,dio_0s84,0,0,SHORT,SHORT,1,0.0,0.0,0.0,-0.003998,-0.014832,-0.010834,0.39888,0.395847,-0.003033,0.272701,0.262513,-0.010188,0.791137,0.79337,0.002233,0.106854,0.106557,-0.000297,0.289344,0.28853,-0.000814,0.450861,0.4449,-0.005961,0.006199,0.006117,-8.2e-05,0.033442,controlled_family_drift
2,8,dio_19mpp0p,dio_19mpp0p,dio_19mp,dio_19mp,1,1,SHORT,SHORT,1,0.0,0.0,0.0,-0.103193,-0.09978,0.003413,0.371106,0.372062,0.000956,0.397911,0.376867,-0.021044,0.791756,0.793177,0.001421,0.097341,0.098222,0.000881,0.302314,0.300295,-0.002019,0.433069,0.431111,-0.001958,0.005955,0.005928,-2.7e-05,0.031719,same_family_under_variation
2,9,dio_1hs5sz6,dio_1hs5sz6,dio_1hs5,dio_1hs5,1,1,LONG,LONG,1,-1.0,-1.0,0.0,0.076494,0.071732,-0.004762,-0.221418,-0.220085,0.001333,0.197379,0.194834,-0.002545,0.870071,0.870317,0.000246,0.06395,0.064033,8.3e-05,0.292683,0.292444,-0.000239,0.22284,0.222348,-0.000492,0.003064,0.003057,-7e-06,0.009707,same_family_under_variation
2,10,dio_1xfw0oi,dio_12dnns3,dio_1xfw,dio_12dn,0,0,LONG,LONG,1,0.0,0.0,0.0,0.101606,0.110496,0.00889,0.37155,0.369061,-0.002489,0.25108,0.254875,0.003795,0.805116,0.80522,0.000104,0.101875,0.101535,-0.00034,0.28862,0.289024,0.000404,0.408177,0.407381,-0.000796,0.005612,0.005601,-1.1e-05,0.016829,name_drift_low_sensor_delta
2,11,dio_0qymuz6,dio_1r1gnnh,dio_0qym,dio_1r1g,0,0,LONG,LONG,1,0.0,0.0,0.0,-0.378987,-0.360021,0.018966,0.293884,0.299194,0.00531,0.319175,0.325209,0.006034,0.827303,0.825303,-0.002,0.086359,0.086869,0.00051,0.297992,0.298399,0.000407,0.327778,0.333483,0.005705,0.004507,0.004585,7.8e-05,0.03901,controlled_family_drift
2,12,dio_1noq62o,dio_1ff06cr,dio_1noq,dio_1ff0,0,0,LONG,LONG,1,-1.0,-1.0,0.0,-0.213477,-0.202039,0.011438,-0.259774,-0.256571,0.003203,0.170628,0.176888,0.00626,0.869575,0.867956,-0.001619,0.065802,0.066108,0.000306,0.289953,0.290424,0.000471,0.228409,0.232866,0.004457,0.003141,0.003202,6.1e-05,0.027815,controlled_family_drift
2,13,dio_1ektc46,dio_1ektc46,dio_1ekt,dio_1ekt,1,1,LONG,LONG,1,0.0,0.0,0.0,-0.118815,-0.101913,0.016902,0.366732,0.371464,0.004732,0.262296,0.272932,0.010636,0.799474,0.797498,-0.001976,0.103574,0.103736,0.000162,0.28921,0.290093,0.000883,0.425268,0.430306,0.005038,0.005847,0.005917,7e-05,0.040399,same_family_under_variation
2,14,dio_067m4e4,dio_17aodmp,dio_067m,dio_17ao,0,0,LONG,LONG,1,1.0,1.0,0.0,0.328103,0.26619,-0.061913,0.908131,0.925467,0.017336,0.568802,0.532792,-0.03601,0.720434,0.719305,-0.001129,0.12925,0.132491,0.003241,0.309763,0.305913,-0.00385,0.624849,0.63297,0.008121,0.008592,0.008703,0.000111,0.131711,strong_family_drift
2,15,dio_1215ovx,dio_1t1wbqf,dio_1215,dio_1t1w,0,0,LONG,LONG,1,1.0,1.0,0.0,0.383958,0.354057,-0.029901,0.892492,0.900864,0.008372,0.465623,0.433783,-0.03184,0.738474,0.740161,0.001687,0.128427,0.130025,0.001598,0.301009,0.297894,-0.003115,0.579292,0.577762,-0.00153,0.007965,0.007944,-2.1e-05,0.078064,controlled_family_drift
2,16,dio_1mrsgr3,dio_1nvu10y,dio_1mrs,dio_1nvu,0,0,LONG,LONG,1,1.0,1.0,0.0,0.209484,0.198965,-0.010519,0.941344,0.94429,0.002946,0.425898,0.407508,-0.01839,0.728918,0.731176,0.002258,0.13599,0.13632,0.00033,0.295856,0.29419,-0.001666,0.615093,0.610033,-0.00506,0.008458,0.008388,-7e-05,0.041239,controlled_family_drift
2,17,dio_1lnolaa,dio_1ldozlb,dio_1lno,dio_1ldo,0,0,SHORT,SHORT,1,1.0,1.0,0.0,0.069474,0.079991,0.010517,0.980547,0.977603,-0.002944,0.432452,0.413982,-0.01847,0.721177,0.723346,0.002169,0.139344,0.139672,0.000328,0.295624,0.293954,-0.00167,0.639168,0.634482,-0.004686,0.008789,0.008724,-6.5e-05,0.040849,controlled_family_drift
