family,phases,phase_count,rows,executed,positive_executed,burdened_executed,observed_potential,held_same_episode,reward_sum,avg_visual_mcm_alignment_trace,avg_tone_tension_resonance_trace,max_trade_readiness,max_mature_transfer
dio_1h5i,order_shift,1,3,1,1,0,2,0,1.652416,0.966362,0.976322,0.064142,0.060884
dio_1ax9,sensor_relation_probe2,1,3,1,1,0,2,0,1.237693,0.944146,0.887864,0.048781,0.048781
dio_060l,sensor_relation_probe2,1,4,1,1,0,3,0,1.190707,0.971986,0.704945,0.096467,0.06317
dio_0thk,sensor_relation_probe3,1,4,1,1,0,3,0,1.156708,0.96523,0.942704,0.09405,0.065401
dio_0nm2,sensor_relation_probe4,1,4,1,1,0,3,0,1.024116,0.922335,0.690522,0.083767,0.064916
dio_1sxo,order_shift_varianz,1,2,1,1,0,1,0,0.993834,0.801728,0.952709,0.076944,0.069375
dio_0qb3,sensor_relation_probe2,1,4,1,1,0,3,0,0.576544,0.975347,0.977726,0.080759,0.064975
dio_1wwt,order_shift,1,4,0,0,0,4,0,0.0,0.967863,0.837527,0.04661,0.04661
dio_1on4,sensor_relation_probe2,1,4,0,0,0,4,0,0.0,0.963578,0.665348,0.027804,0.027804
dio_0oqk,sensor_relation_probe2,1,4,0,0,0,4,0,0.0,0.95665,0.794966,0.033484,0.033484
dio_1iwb,sensor_relation_probe2,1,4,0,0,0,4,0,0.0,0.943828,0.740879,0.026406,0.026406
dio_08wa,order_shift,1,4,0,0,0,4,0,0.0,0.886663,0.597352,0.022227,0.022227
dio_151h,order_shift_varianz,1,4,0,0,0,4,0,0.0,0.884571,0.606009,0.010461,0.010461
dio_1hhw,sensor_relation_probe4,1,3,0,0,0,3,0,0.0,0.999848,0.737125,0.023761,0.023761
dio_15r2,sensor_relation_probe2,1,3,0,0,0,3,0,0.0,0.991549,0.949238,0.045661,0.045661
dio_0hiu,sensor_relation_probe4,1,3,0,0,0,3,0,0.0,0.98457,0.977756,0.036812,0.036812
dio_1og7,sensor_relation_probe4,1,3,0,0,0,3,0,0.0,0.971695,0.858656,0.045127,0.045127
dio_066x,order_shift_varianz,1,3,0,0,0,3,0,0.0,0.958834,0.761113,0.017901,0.017901
dio_03fl,order_shift_varianz,1,4,0,0,0,3,1,0.0,0.895492,0.705145,0.049949,0.049949
dio_0knp,order_shift,1,3,0,0,0,3,0,0.0,0.891968,0.581614,0.00548,0.00548
dio_0iy2,order_shift_varianz,1,3,0,0,0,3,0,0.0,0.869638,0.512876,0.01359,0.01359
dio_0yok,sensor_relation_probe4,1,3,0,0,0,3,0,0.0,0.81627,0.962425,0.004513,0.004513
dio_0g8c,sensor_relation_probe4,1,3,0,0,0,3,0,0.0,0.752575,0.927863,0.024789,0.024789
dio_1ytj,order_shift_varianz,1,4,0,0,0,2,2,0.0,0.999359,0.865305,0.122182,0.058633
dio_0hzw,sensor_relation_probe4,1,2,0,0,0,2,0,0.0,0.995699,0.922349,0.016671,0.016671
dio_09n6,sensor_relation_probe4,1,2,0,0,0,2,0,0.0,0.984898,0.887876,0.010778,0.010778
dio_0f9v,sensor_relation_probe4,1,2,0,0,0,2,0,0.0,0.97858,0.85631,0.018434,0.018434
dio_1fcl,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.976011,0.986875,0.014809,0.014809
dio_0x50,sensor_relation_probe3,1,2,0,0,0,2,0,0.0,0.967682,0.843545,0.017127,0.017127
dio_0hla,sensor_relation_probe3,1,2,0,0,0,2,0,0.0,0.966675,0.892163,0.009456,0.009456
dio_0if9,sensor_relation_probe3,1,2,0,0,0,2,0,0.0,0.966675,0.892163,0.009589,0.009589
dio_1hkr,order_shift_varianz,1,4,0,0,0,2,2,0.0,0.960995,0.804932,0.091462,0.055656
dio_0eh8,sensor_relation_probe4,1,2,0,0,0,2,0,0.0,0.947582,0.859487,0.014668,0.014668
dio_01ql,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.935871,0.799799,0.004113,0.004113
dio_0d07,order_shift,1,2,0,0,0,2,0,0.0,0.931789,0.685012,0.006525,0.006525
dio_01nr,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.92632,0.992438,0.014357,0.014357
dio_026q,sensor_relation_probe3,1,2,0,0,0,2,0,0.0,0.913231,0.657698,0.017334,0.017334
dio_07z2,sensor_relation_probe3,1,2,0,0,0,2,0,0.0,0.895907,0.921218,0.015002,0.015002
dio_0q8z,order_shift_varianz,1,2,0,0,0,2,0,0.0,0.865405,0.971465,0.017637,0.017637
dio_1i0f,order_shift,1,2,0,0,0,2,0,0.0,0.813847,0.893742,0.012728,0.012728
dio_1ce7,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.811249,0.586853,0.014208,0.014208
dio_1c48,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.811249,0.586853,0.014323,0.014323
dio_14ch,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.807711,0.984165,0.00755,0.00755
dio_0nvr,order_shift,1,2,0,0,0,2,0,0.0,0.802968,0.77327,0.005402,0.005402
dio_00t3,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.783979,0.935124,0.011218,0.011218
dio_0789,sensor_relation_probe2,1,1,0,0,0,1,0,0.0,0.99899,0.885374,0.004254,0.004254
dio_0ie2,sensor_relation_probe3,1,1,0,0,0,1,0,0.0,0.990665,0.849184,0.003869,0.003869
dio_1j0n,order_shift,1,1,0,0,0,1,0,0.0,0.968496,0.848788,0.004095,0.004095
dio_1mic,sensor_relation_probe2,1,1,0,0,0,1,0,0.0,0.960269,0.837434,0.003916,0.003916
dio_018g,order_shift,1,1,0,0,0,1,0,0.0,0.887779,0.66456,0.004547,0.004547
dio_0r8e,order_shift_varianz,1,1,0,0,0,1,0,0.0,0.878643,0.701743,0.004006,0.004006
dio_0mp4,order_shift_varianz,1,1,0,0,0,1,0,0.0,0.769624,0.79681,0.004609,0.004609
dio_00eh,order_shift,1,2,1,0,1,1,0,-0.431148,0.887779,0.66456,0.072906,0.066364
