family,family_count,strongest_action_trace,reflection_map_states,timeline_state,current_seen_count,current_executed_count,current_observed_potential_count,current_held_pressure_count,current_reward_sum,current_best_reward_sum,current_actions,current_states,last_run,last_tick,timeline,stored_passive_sentence,timeline_passive_sentence,cortex_sentence
dio_02az,3,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_02az: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_02az: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0309,2,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0309: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0309: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_03fl,5,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_03fl: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_03fl: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_040y,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_040y: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_040y: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_04iy,2,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_04iy: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_04iy: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_052z,4,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_052z: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_052z: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_05cx,1,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_05cx: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_05cx: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_05pr,3,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_05pr: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_05pr: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_05s4,3,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_05s4: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_05s4: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_05vm,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_05vm: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_05vm: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_05x4,2,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_05x4: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_05x4: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_05z6,4,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_05z6: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_05z6: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_060l,4,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_060l: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_060l: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_066x,3,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_066x: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_066x: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_06j3,3,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_06j3: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_06j3: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_074d,2,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_074d: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_074d: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0786,1,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0786: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0786: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0789,1,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0789: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0789: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_07mf,4,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_07mf: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_07mf: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_07rf,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_07rf: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_07rf: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_07wx,4,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_07wx: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_07wx: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_07yj,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_07yj: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_07yj: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_07z2,2,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_07z2: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_07z2: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_081d,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_081d: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_081d: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_08wa,4,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_08wa: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_08wa: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_09dp,3,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_09dp: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_09dp: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_09jn,20,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_09jn: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_09jn: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_09n6,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_09n6: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_09n6: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0a54,10,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0a54: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0a54: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0aa6,3,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0aa6: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0aa6: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0aam,3,WAIT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0aam: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Spur bleibt Beobachtung/Warten.,,"dio_0aam: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0aib,3,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0aib: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0aib: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0akd,3,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0akd: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0akd: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0av4,3,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0av4: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0av4: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0avw,8,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0avw: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0avw: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0b0d,4,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0b0d: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0b0d: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0bcj,2,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0bcj: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0bcj: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0bmh,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0bmh: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0bmh: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0byw,10,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0byw: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0byw: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0c1f,3,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0c1f: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0c1f: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0cn1,4,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0cn1: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0cn1: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0d07,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0d07: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0d07: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0dcm,2,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0dcm: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0dcm: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0e10,8,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0e10: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0e10: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0e6t,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0e6t: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0e6t: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0edu,3,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0edu: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0edu: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0eh8,7,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0eh8: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0eh8: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0eji,4,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0eji: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0eji: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0f4h,5,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0f4h: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0f4h: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0f9v,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0f9v: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0f9v: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0fp8,4,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0fp8: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0fp8: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0fzl,3,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0fzl: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0fzl: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0g0p,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0g0p: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0g0p: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0g8c,3,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0g8c: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0g8c: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0ga4,3,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0ga4: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0ga4: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0gtz,3,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0gtz: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0gtz: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0hd3,8,SHORT,reflection_memory_quiet:2|reflection_memory_reconfirmed:2,reconfirmed_with_quiet_return,0,0,0,0,0.0,0.0,-,-,,,probe14:reflection_memory_reconfirmed -> probe15:reflection_memory_reconfirmed -> probe16:reflection_memory_quiet -> probe17:reflection_memory_quiet,dio_0hd3: wurde passiv wiedererkannt und getragen; die bisher staerkste Handlungsspur liegt bei SHORT.,dio_0hd3: wurde getragen und spaeter auch still wiedergefunden.,"dio_0hd3: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0hiu,3,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0hiu: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0hiu: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0hla,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0hla: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0hla: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0hli,3,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0hli: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0hli: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0hzw,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0hzw: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0hzw: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0i2c,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0i2c: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0i2c: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0i5m,2,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0i5m: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0i5m: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0i9h,1,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0i9h: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0i9h: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0ie2,1,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0ie2: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0ie2: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0if9,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0if9: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0if9: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0ifl,1,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0ifl: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_0ifl: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
