family,classification,trace_notes,phases,phase_count,executed_runs,observed_runs,reward_sum,reward_per_executed_run,visual_mcm,tone_tension,bearing_neighbor_count,same_family_relation_count
dio_1on4,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,4,0.0,0.0,0.963578,0.665348,0,0
dio_0rps,stabile_beobachtung,beobachtet,sensor_relation_probe4,1,0,4,0.0,0.0,0.990381,0.840068,0,0
dio_0v15,beobachteter_nachhall,beobachtet|nachhall_gehalten,sensor_relation_probe4,1,0,4,0.0,0.0,0.968457,0.852439,0,0
dio_1alf,stabile_beobachtung,beobachtet,sensor_relation_probe4,1,0,4,0.0,0.0,0.902341,0.760009,0,0
dio_1y2t,stabile_beobachtung,beobachtet,sensor_relation_probe4,1,0,4,0.0,0.0,0.97924,0.821653,0,0
dio_0knp,stabile_beobachtung,beobachtet,order_shift,1,0,3,0.0,0.0,0.891968,0.581614,0,0
dio_066x,stabile_beobachtung,beobachtet,order_shift_varianz,1,0,3,0.0,0.0,0.958834,0.761113,0,0
dio_0iy2,stabile_beobachtung,beobachtet,order_shift_varianz,1,0,3,0.0,0.0,0.869638,0.512876,0,0
dio_15r2,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,3,0.0,0.0,0.991549,0.949238,0,0
dio_0g8c,stabile_beobachtung,beobachtet,sensor_relation_probe4,1,0,3,0.0,0.0,0.752575,0.927863,0,0
dio_0hiu,stabile_beobachtung,beobachtet,sensor_relation_probe4,1,0,3,0.0,0.0,0.98457,0.977756,0,0
dio_0yok,stabile_beobachtung,beobachtet,sensor_relation_probe4,1,0,3,0.0,0.0,0.81627,0.962425,0,0
dio_1hhw,stabile_beobachtung,beobachtet,sensor_relation_probe4,1,0,3,0.0,0.0,0.999848,0.737125,0,0
dio_1og7,stabile_beobachtung,beobachtet,sensor_relation_probe4,1,0,3,0.0,0.0,0.971695,0.858656,0,0
dio_0d07,stabile_beobachtung,beobachtet,order_shift,1,0,2,0.0,0.0,0.931789,0.685012,0,0
dio_0nvr,stabile_beobachtung,beobachtet,order_shift,1,0,2,0.0,0.0,0.802968,0.77327,0,0
dio_1i0f,stabile_beobachtung,beobachtet,order_shift,1,0,2,0.0,0.0,0.813847,0.893742,0,0
dio_0q8z,stabile_beobachtung,beobachtet,order_shift_varianz,1,0,2,0.0,0.0,0.865405,0.971465,0,0
dio_00t3,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,2,0.0,0.0,0.783979,0.935124,0,0
dio_01nr,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,2,0.0,0.0,0.92632,0.992438,0,0
dio_01ql,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,2,0.0,0.0,0.935871,0.799799,0,0
dio_14ch,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,2,0.0,0.0,0.807711,0.984165,0,0
dio_1c48,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,2,0.0,0.0,0.811249,0.586853,0,0
dio_1ce7,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,2,0.0,0.0,0.811249,0.586853,0,0
dio_1fcl,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,2,0.0,0.0,0.976011,0.986875,0,0
dio_026q,stabile_beobachtung,beobachtet,sensor_relation_probe3,1,0,2,0.0,0.0,0.913231,0.657698,0,0
dio_07z2,stabile_beobachtung,beobachtet,sensor_relation_probe3,1,0,2,0.0,0.0,0.895907,0.921218,0,0
dio_0hla,stabile_beobachtung,beobachtet,sensor_relation_probe3,1,0,2,0.0,0.0,0.966675,0.892163,0,0
dio_0if9,stabile_beobachtung,beobachtet,sensor_relation_probe3,1,0,2,0.0,0.0,0.966675,0.892163,0,0
dio_0x50,stabile_beobachtung,beobachtet,sensor_relation_probe3,1,0,2,0.0,0.0,0.967682,0.843545,0,0
dio_09n6,stabile_beobachtung,beobachtet,sensor_relation_probe4,1,0,2,0.0,0.0,0.984898,0.887876,0,0
dio_0eh8,stabile_beobachtung,beobachtet,sensor_relation_probe4,1,0,2,0.0,0.0,0.947582,0.859487,0,0
dio_0f9v,stabile_beobachtung,beobachtet,sensor_relation_probe4,1,0,2,0.0,0.0,0.97858,0.85631,0,0
dio_0hzw,stabile_beobachtung,beobachtet,sensor_relation_probe4,1,0,2,0.0,0.0,0.995699,0.922349,0,0
dio_018g,stabile_beobachtung,beobachtet,order_shift,1,0,1,0.0,0.0,0.887779,0.66456,0,0
dio_1j0n,stabile_beobachtung,beobachtet,order_shift,1,0,1,0.0,0.0,0.968496,0.848788,0,0
dio_0mp4,stabile_beobachtung,beobachtet,order_shift_varianz,1,0,1,0.0,0.0,0.769624,0.79681,0,0
dio_0r8e,stabile_beobachtung,beobachtet,order_shift_varianz,1,0,1,0.0,0.0,0.878643,0.701743,0,0
dio_0789,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,1,0.0,0.0,0.99899,0.885374,0,0
dio_1mic,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,1,0.0,0.0,0.960269,0.837434,0,0
dio_0ie2,stabile_beobachtung,beobachtet,sensor_relation_probe3,1,0,1,0.0,0.0,0.990665,0.849184,0,0
dio_00eh,belastete_spur,ausgefuehrt|beobachtet|belastete_konsequenz,order_shift,1,1,1,-0.431148,-0.431148,0.887779,0.66456,0,0
