run,tick,timestamp_ms,symbol,symbol_family,inner_state,reflection_posture,contact_state,action,raw_action,best_action_training,reward,best_reward_training,phase_active,episode_relation,sehen_form_flow,sehen_form_stability,hoeren_energy_tone,fuehlen_mcm_coherence,fuehlen_mcm_tension,inner_sentence,passive_only
146,17,1767605100000000,dio_02qut94,dio_02qu,inner_unknown,,observed_potential_contact,WAIT,WAIT,LONG,0.0,0.36744,0,different_contact,0.291659,0.0,0.053713,0.38496,0.192154,dio_02qu: keine passive Innenlage zugeordnet; Kontaktzustand observed_potential_contact.,1
146,18,1767605400000000,dio_0120ekw,dio_0120,inner_unknown,,executed_positive_contact,LONG,LONG,LONG,0.333693,0.333693,0,different_contact,0.606218,1.0,0.115901,0.967548,0.321409,dio_0120: keine passive Innenlage zugeordnet; Kontaktzustand executed_positive_contact.,1
147,1,1767600300000000,dio_1u7v0v3,dio_1u7v,inner_carried,passive_reflection_stable_carry,executed_positive_contact,SHORT,SHORT,SHORT,0.894392,0.894392,0,none,0.032622,1.0,0.039728,0.988876,0.040826,"dio_1u7v: innen getragen, realer Kontakt SHORT, reward=0.894392.",1
147,6,1767601800000000,dio_0arws0q,dio_0arw,inner_carried,passive_reflection_stable_carry,executed_positive_contact,LONG,LONG,LONG,1.384854,1.384854,0,different_contact,-0.447325,0.0,-0.00536,0.398499,0.275533,"dio_0arw: innen getragen, realer Kontakt LONG, reward=1.384854.",1
147,11,1767603300000000,dio_14xcnvd,dio_14xc,inner_open_observation,passive_reflection_open_observation,observed_potential_contact,WAIT,WAIT,LONG,0.0,0.094515,0,different_contact,0.822477,1.0,0.010545,0.997047,0.377032,dio_14xc: innen offen beobachtet; Kontaktzustand observed_potential_contact.,1
147,12,1767603600000000,dio_1vpirj0,dio_1vpi,inner_cautious,passive_reflection_caution_after_conflict,observed_potential_contact,WAIT,WAIT,LONG,0.0,0.142483,0,different_contact,0.742634,1.0,-0.052832,0.985207,0.348372,dio_1vpi: innen vorsichtig; Kontaktzustand observed_potential_contact.,1
147,13,1767603900000000,dio_00qb6xd,dio_00qb,inner_unknown,,observed_potential_contact,WAIT,WAIT,LONG,0.0,0.629146,0,different_contact,0.402576,0.0,-0.078022,0.378154,0.299928,dio_00qb: keine passive Innenlage zugeordnet; Kontaktzustand observed_potential_contact.,1
147,14,1767604200000000,dio_0t0va9u,dio_0t0v,inner_carried,passive_reflection_carried_maturation,observed_potential_contact,WAIT,WAIT,LONG,0.0,1.036659,0,none,0.043335,-1.0,-0.093547,-0.226193,0.11288,"dio_0t0v: innen getragen, aber in dieser Episode nicht gehandelt.",1
147,15,1767604500000000,dio_0akdeip,dio_0akd,inner_unknown,,executed_positive_contact,LONG,LONG,LONG,0.775657,0.775657,0,none,-0.021613,-1.0,-0.04619,-0.212933,0.063058,dio_0akd: keine passive Innenlage zugeordnet; Kontaktzustand executed_positive_contact.,1
148,1,1767600300000000,dio_1u7v0v3,dio_1u7v,inner_carried,passive_reflection_stable_carry,executed_positive_contact,SHORT,SHORT,SHORT,0.894392,0.894392,0,none,0.032622,1.0,0.039728,0.988876,0.040826,"dio_1u7v: innen getragen, realer Kontakt SHORT, reward=0.894392.",1
148,6,1767601800000000,dio_0arws0q,dio_0arw,inner_carried,passive_reflection_stable_carry,executed_positive_contact,LONG,LONG,LONG,1.384854,1.384854,0,different_contact,-0.447325,0.0,-0.00536,0.398499,0.275533,"dio_0arw: innen getragen, realer Kontakt LONG, reward=1.384854.",1
148,11,1767603300000000,dio_14xcnvd,dio_14xc,inner_open_observation,passive_reflection_open_observation,observed_potential_contact,WAIT,WAIT,LONG,0.0,0.094515,0,different_contact,0.822477,1.0,0.010545,0.997047,0.377032,dio_14xc: innen offen beobachtet; Kontaktzustand observed_potential_contact.,1
148,12,1767603600000000,dio_1vpirj0,dio_1vpi,inner_cautious,passive_reflection_caution_after_conflict,observed_potential_contact,WAIT,WAIT,LONG,0.0,0.142483,0,different_contact,0.742634,1.0,-0.052832,0.985207,0.348372,dio_1vpi: innen vorsichtig; Kontaktzustand observed_potential_contact.,1
148,13,1767603900000000,dio_00qb6xd,dio_00qb,inner_unknown,,observed_potential_contact,WAIT,WAIT,LONG,0.0,0.629146,0,different_contact,0.402576,0.0,-0.078022,0.378154,0.299928,dio_00qb: keine passive Innenlage zugeordnet; Kontaktzustand observed_potential_contact.,1
148,14,1767604200000000,dio_0t0va9u,dio_0t0v,inner_carried,passive_reflection_carried_maturation,observed_potential_contact,WAIT,WAIT,LONG,0.0,1.036659,0,none,0.043335,-1.0,-0.093547,-0.226193,0.11288,"dio_0t0v: innen getragen, aber in dieser Episode nicht gehandelt.",1
148,15,1767604500000000,dio_0akdeip,dio_0akd,inner_unknown,,executed_positive_contact,LONG,LONG,LONG,0.775657,0.775657,0,none,-0.021613,-1.0,-0.04619,-0.212933,0.063058,dio_0akd: keine passive Innenlage zugeordnet; Kontaktzustand executed_positive_contact.,1
